"DR2TSFAT.Code.or.Value","DR2TSFAT.Value.Description","DR2TSFAT.Count","DR2TSFAT.Cumulative","DR2TSFAT.Skip.to.Item"
"0 to 137.599","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
