"WBXF044.Code.or.Value","WBXF044.Value.Description","WBXF044.Count","WBXF044.Cumulative","WBXF044.Skip.to.Item"
"1296.8396 to 1296.8396","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
