"AUDTYR48.Code.or.Value","AUDTYR48.Value.Description","AUDTYR48.Count","AUDTYR48.Cumulative","AUDTYR48.Skip.to.Item"
"0 to 2.59","Range of Values",1140,1140,NA
".","Missing",70,1210,NA
