"URDCOPLC.Code.or.Value","URDCOPLC.Value.Description","URDCOPLC.Count","URDCOPLC.Cumulative","URDCOPLC.Skip.to.Item"
"0","At or above the detection limit",2489,2489,NA
"1","Below lower detection limit",0,2489,NA
".","Missing",105,2594,NA
