"OSD030cb.Code.or.Value","OSD030cb.Value.Description","OSD030cb.Count","OSD030cb.Cumulative","OSD030cb.Skip.to.Item"
"16 to 66","Range of Values",18,18,NA
"80","80 or older",1,19,NA
"77777","Refused",0,19,NA
"99999","Don't know",0,19,NA
".","Missing",5916,5935,NA
