"LBXVC1.Code.or.Value","LBXVC1.Value.Description","LBXVC1.Count","LBXVC1.Cumulative","LBXVC1.Skip.to.Item"
"43.2 to 1330","Range of Values",4343,4343,NA
".","Missing",1300,5643,NA
