"URXMTM.Code.or.Value","URXMTM.Value.Description","URXMTM.Count","URXMTM.Cumulative","URXMTM.Skip.to.Item"
"0.035 to 0.07","Range of Values",2360,2360,NA
".","Missing",252,2612,NA
