"DR1IALCO.Code.or.Value","DR1IALCO.Value.Description","DR1IALCO.Count","DR1IALCO.Cumulative","DR1IALCO.Skip.to.Item"
"0 to 403.2","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
