"FSD032C.Code.or.Value","FSD032C.Value.Description","FSD032C.Count","FSD032C.Cumulative","FSD032C.Skip.to.Item"
"1","Often true",419,419,NA
"2","Sometimes true",1204,1623,NA
"3","Never true",8434,10057,NA
"7","Refused",6,10063,NA
"9","Don't know",9,10072,NA
".","Missing",77,10149,NA
