"LBXV4C.Code.or.Value","LBXV4C.Value.Description","LBXV4C.Count","LBXV4C.Cumulative","LBXV4C.Skip.to.Item"
"0.0339 to 9.44","Range of Values",2735,2735,NA
".","Missing",680,3415,NA
