"MCQ170K.Code.or.Value","MCQ170K.Value.Description","MCQ170K.Count","MCQ170K.Cumulative","MCQ170K.Skip.to.Item"
"1","Yes",129,129,"MCQ180K"
"2","No",154,283,"MCQ180K"
"7","Refused",0,283,"MCQ180K"
"9","Don't know",8,291,"MCQ180K"
".","Missing",10179,10470,""
