"DR2TTFAT.Code.or.Value","DR2TTFAT.Value.Description","DR2TTFAT.Count","DR2TTFAT.Cumulative","DR2TTFAT.Skip.to.Item"
"0 to 409.32","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
