"DR1IGRMS.Code.or.Value","DR1IGRMS.Value.Description","DR1IGRMS.Count","DR1IGRMS.Cumulative","DR1IGRMS.Skip.to.Item"
"0.01 to 13440","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
