"DSXCF1.Code.or.Value","DSXCF1.Value.Description","DSXCF1.Count","DSXCF1.Cumulative","DSXCF1.Skip.to.Item"
"0.42 to 54738.25","Range of Values",6957,6957,NA
".","Missing",2483,9440,NA
