"RFXT052.Code.or.Value","RFXT052.Value.Description","RFXT052.Count","RFXT052.Cumulative","RFXT052.Skip.to.Item"
"442 to 451","Range of Values",51065,51065,NA
".","Missing",11,51076,NA
