"BIXC028K.Code.or.Value","BIXC028K.Value.Description","BIXC028K.Count","BIXC028K.Cumulative","BIXC028K.Skip.to.Item"
"22.28 to 128.71","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
