"URXUIO.Code.or.Value","URXUIO.Value.Description","URXUIO.Count","URXUIO.Cumulative","URXUIO.Skip.to.Item"
"8.9 to 72155.3","Range of Values",3079,3079,NA
".","Missing",200,3279,NA
