"LBXMS1.Code.or.Value","LBXMS1.Value.Description","LBXMS1.Count","LBXMS1.Cumulative","LBXMS1.Skip.to.Item"
"1","Yes",2442,2442,NA
"2","No",6562,9004,NA
".","Missing",175,9179,NA
