"ALQ120U.Code.or.Value","ALQ120U.Value.Description","ALQ120U.Count","ALQ120U.Cumulative","ALQ120U.Skip.to.Item"
"1","Week",1114,1114,NA
"2","Month",661,1775,NA
"3","Year",920,2695,NA
"7","Refused",0,2695,NA
"9","Don't know",0,2695,NA
".","Missing",2047,4742,NA
