"OPDSMACH.Code.or.Value","OPDSMACH.Value.Description","OPDSMACH.Count","OPDSMACH.Cumulative","OPDSMACH.Skip.to.Item"
"0","No",2367,2367,NA
"1","Questionable",1,2368,NA
"2","Yes",2,2370,NA
".","Missing",564,2934,NA
