"OCQ290G.Code.or.Value","OCQ290G.Value.Description","OCQ290G.Count","OCQ290G.Cumulative","OCQ290G.Skip.to.Item"
"1","Enter number",601,601,NA
"2","Never",2866,3467,NA
"7","Refused",1,3468,NA
"9","Don't know",3,3471,NA
".","Missing",3075,6546,NA
