"URXP04.Code.or.Value","URXP04.Value.Description","URXP04.Count","URXP04.Cumulative","URXP04.Skip.to.Item"
"7.1 to 21271.3","Range of Values",2582,2582,NA
".","Missing",136,2718,NA
