"LBD151LC.Code.or.Value","LBD151LC.Value.Description","LBD151LC.Count","LBD151LC.Cumulative","LBD151LC.Skip.to.Item"
"0","At or above the detection limit",31,31,NA
"1","Below lower detection limit",233,264,NA
".","Missing",0,264,NA
