"BPXDI4.Code.or.Value","BPXDI4.Value.Description","BPXDI4.Count","BPXDI4.Cumulative","BPXDI4.Skip.to.Item"
"0 to 132","Range of Values",324,324,NA
".","Missing",9220,9544,NA
