"MGXH1T1E.Code.or.Value","MGXH1T1E.Value.Description","MGXH1T1E.Count","MGXH1T1E.Cumulative","MGXH1T1E.Skip.to.Item"
"1","Maximal",6911,6911,NA
"2","Questionable",259,7170,NA
".","Missing",651,7821,NA
