"BMXARML.Code.or.Value","BMXARML.Value.Description","BMXARML.Count","BMXARML.Cumulative","BMXARML.Skip.to.Item"
"10 to 46.5","Range of Values",9869,9869,NA
".","Missing",608,10477,NA
