"URXMX1.Code.or.Value","URXMX1.Value.Description","URXMX1.Count","URXMX1.Cumulative","URXMX1.Skip.to.Item"
"0.021 to 884","Range of Values",2621,2621,NA
".","Missing",138,2759,NA
