"URDOP2LC.Code.or.Value","URDOP2LC.Value.Description","URDOP2LC.Count","URDOP2LC.Cumulative","URDOP2LC.Skip.to.Item"
"0","At or above the detection limit",833,833,NA
"1","Below lower detection limit",1758,2591,NA
".","Missing",103,2694,NA
