"CIQG35.Code.or.Value","CIQG35.Value.Description","CIQG35.Count","CIQG35.Cumulative","CIQG35.Skip.to.Item"
"0 to 14","Range of Values",15,15,NA
"77","Refused",0,15,NA
"99","Don't know",2,17,NA
".","Missing",761,778,NA
