"LBC153LA.Code.or.Value","LBC153LA.Value.Description","LBC153LA.Count","LBC153LA.Cumulative","LBC153LA.Skip.to.Item"
"1.201 to 174.4","Range of Values",284,284,NA
".","Missing",0,284,NA
