"LBDVD2LC.Code.or.Value","LBDVD2LC.Value.Description","LBDVD2LC.Count","LBDVD2LC.Cumulative","LBDVD2LC.Skip.to.Item"
"0","At or above the detection limit",1376,1376,NA
"1","Below lower detection limit",7324,8700,NA
".","Missing",1135,9835,NA
