"WBXF104.Code.or.Value","WBXF104.Value.Description","WBXF104.Count","WBXF104.Cumulative","WBXF104.Skip.to.Item"
"7336.0323 to 7336.0323","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
