"DR2TS160.Code.or.Value","DR2TS160.Value.Description","DR2TS160.Count","DR2TS160.Cumulative","DR2TS160.Skip.to.Item"
"0 to 85.454","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
