"BPXDI1.Code.or.Value","BPXDI1.Value.Description","BPXDI1.Count","BPXDI1.Cumulative","BPXDI1.Skip.to.Item"
"0 to 124","Range of Values",6668,6668,NA
".","Missing",3282,9950,NA
