"SMD160.Code.or.Value","SMD160.Value.Description","SMD160.Count","SMD160.Cumulative","SMD160.Skip.to.Item"
"10 to 73","Range of Values",272,272,""
"0","Never smoked cigars regularly",305,577,"SMQ180"
"777","Refused",0,577,"SMQ180"
"999","Don't know",3,580,"SMQ180"
".","Missing",4300,4880,""
