"DRD370KQ.Code.or.Value","DRD370KQ.Value.Description","DRD370KQ.Count","DRD370KQ.Cumulative","DRD370KQ.Skip.to.Item"
"1 to 30","Range of Values",133,133,NA
".","Missing",9205,9338,NA
