"WTSAU48.Code.or.Value","WTSAU48.Value.Description","WTSAU48.Count","WTSAU48.Cumulative","WTSAU48.Skip.to.Item"
"0 to 480175.23526","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
