"ORXH62.Code.or.Value","ORXH62.Value.Description","ORXH62.Count","ORXH62.Cumulative","ORXH62.Skip.to.Item"
"1","Positive",39,39,NA
"2","Negative",4685,4724,NA
"3","Not evaluated",333,5057,NA
".","Missing",0,5057,NA
