"AUXU4KR.Code.or.Value","AUXU4KR.Value.Description","AUXU4KR.Count","AUXU4KR.Cumulative","AUXU4KR.Skip.to.Item"
"-10 to 115","Range of Values",1877,1877,NA
"666","No response",3,1880,NA
"888","Could not obtain",0,1880,NA
".","Missing",166,2046,NA
