"URXVOL1.Code.or.Value","URXVOL1.Value.Description","URXVOL1.Count","URXVOL1.Cumulative","URXVOL1.Skip.to.Item"
"0 to 446","Range of Values",7650,7650,NA
".","Missing",171,7821,NA
