"MCQ160l.Code.or.Value","MCQ160l.Value.Description","MCQ160l.Count","MCQ160l.Cumulative","MCQ160l.Skip.to.Item"
"1","Yes",234,234,""
"2","No",5525,5759,"MCQ160o"
"7","Refused",0,5759,"MCQ160o"
"9","Don't know",10,5769,"MCQ160o"
".","Missing",4001,9770,""
