"DRQSDIET.Code.or.Value","DRQSDIET.Value.Description","DRQSDIET.Count","DRQSDIET.Cumulative","DRQSDIET.Skip.to.Item"
"1","Yes",831,831,""
"2","No",8301,9132,"DR1TNUMF"
"9","Don't know",6,9138,"DR1TNUMF"
".","Missing",505,9643,""
