"URXUTL.Code.or.Value","URXUTL.Value.Description","URXUTL.Count","URXUTL.Cumulative","URXUTL.Skip.to.Item"
"0.014 to 1.37","Range of Values",2272,2272,NA
".","Missing",77,2349,NA
