"TYXP105.Code.or.Value","TYXP105.Value.Description","TYXP105.Count","TYXP105.Cumulative","TYXP105.Skip.to.Item"
"-298 to 69","Range of Values",8459,8459,NA
".","Missing",10,8469,NA
