"URDOP6LC.Code.or.Value","URDOP6LC.Value.Description","URDOP6LC.Count","URDOP6LC.Cumulative","URDOP6LC.Skip.to.Item"
"0","At or above the detection limit",137,137,NA
"1","Below lower detection limit",2878,3015,NA
".","Missing",190,3205,NA
