"BIXC012K.Code.or.Value","BIXC012K.Value.Description","BIXC012K.Count","BIXC012K.Cumulative","BIXC012K.Skip.to.Item"
"18.74 to 587.57","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
