"DSD128HH.Code.or.Value","DSD128HH.Value.Description","DSD128HH.Count","DSD128HH.Cumulative","DSD128HH.Skip.to.Item"
"42","WORD OF MOUTH, ADVERTISEMENT",34,34,NA
".","Missing",8235,8269,NA
