"DS2ANCNT.Code.or.Value","DS2ANCNT.Value.Description","DS2ANCNT.Count","DS2ANCNT.Cumulative","DS2ANCNT.Skip.to.Item"
"0 to 2","Range of Values",6632,6632,NA
".","Missing",2072,8704,NA
