"RIANSMP.Code.or.Value","RIANSMP.Value.Description","RIANSMP.Count","RIANSMP.Cumulative","RIANSMP.Skip.to.Item"
"2 to 8","Range of Values",284,284,NA
".","Missing",0,284,NA
