"RHQ332.Code.or.Value","RHQ332.Value.Description","RHQ332.Count","RHQ332.Cumulative","RHQ332.Skip.to.Item"
"24 to 77","Range of Values",255,255,NA
"777","Refused",1,256,NA
"999","Don't know",10,266,NA
".","Missing",3032,3298,NA
