"BIDICF.Code.or.Value","BIDICF.Value.Description","BIDICF.Count","BIDICF.Cumulative","BIDICF.Skip.to.Item"
"5.32 to 49.04","Range of Values",4083,4083,NA
".","Missing",1228,5311,NA
