"OHQ870.Code.or.Value","OHQ870.Value.Description","OHQ870.Count","OHQ870.Cumulative","OHQ870.Skip.to.Item"
"0 to 7","Range of Values",4555,4555,NA
"77","Refused",2,4557,NA
"99","Don't know",8,4565,NA
".","Missing",4799,9364,NA
