"DSDFD1LC.Code.or.Value","DSDFD1LC.Value.Description","DSDFD1LC.Count","DSDFD1LC.Cumulative","DSDFD1LC.Skip.to.Item"
"0","At or above the detection limit",6216,6216,NA
"1","Below lower detection limit",741,6957,NA
".","Missing",2483,9440,NA
