"DUQ350Q.Code.or.Value","DUQ350Q.Value.Description","DUQ350Q.Count","DUQ350Q.Cumulative","DUQ350Q.Skip.to.Item"
"1 to 46","Range of Values",225,225,NA
"7777","Refused",0,225,NA
"9999","Don't know",2,227,NA
".","Missing",3058,3285,NA
