"SSLNA_N.Code.or.Value","SSLNA_N.Value.Description","SSLNA_N.Count","SSLNA_N.Cumulative","SSLNA_N.Skip.to.Item"
"1190 to 14200","Range of Values",1761,1761,NA
".","Missing",17,1778,NA
