"URXOP3.Code.or.Value","URXOP3.Value.Description","URXOP3.Count","URXOP3.Cumulative","URXOP3.Skip.to.Item"
"0.35 to 1058.04","Range of Values",2494,2494,NA
".","Missing",118,2612,NA
