"AUXLR155.Code.or.Value","AUXLR155.Value.Description","AUXLR155.Count","AUXLR155.Cumulative","AUXLR155.Skip.to.Item"
"-12 to 52","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
