"DSD128DD.Code.or.Value","DSD128DD.Value.Description","DSD128DD.Count","DSD128DD.Cumulative","DSD128DD.Skip.to.Item"
"38","FOR RELAXATION, DECREASE STRESS",17,17,NA
".","Missing",8268,8285,NA
