"LEARLES.Code.or.Value","LEARLES.Value.Description","LEARLES.Count","LEARLES.Cumulative","LEARLES.Skip.to.Item"
"1","Yes",9,9,NA
"2","No",2734,2743,NA
"8","Could not obtain",10,2753,NA
".","Missing",333,3086,NA
