"OCQ180.Code.or.Value","OCQ180.Value.Description","OCQ180.Count","OCQ180.Cumulative","OCQ180.Skip.to.Item"
"1 to 120","Range of Values",3339,3339,NA
"77777","Refused",2,3341,NA
"99999","Don't know",4,3345,NA
".","Missing",3119,6464,NA
