"LBXCD8.Code.or.Value","LBXCD8.Value.Description","LBXCD8.Count","LBXCD8.Cumulative","LBXCD8.Skip.to.Item"
"137 to 1689","Range of Values",48,48,NA
".","Missing",2928,2976,NA
