"CVDR2SY.Code.or.Value","CVDR2SY.Value.Description","CVDR2SY.Count","CVDR2SY.Cumulative","CVDR2SY.Skip.to.Item"
"74 to 264","Range of Values",2816,2816,NA
".","Missing",1786,4602,NA
