"MCQ240dk.Code.or.Value","MCQ240dk.Value.Description","MCQ240dk.Count","MCQ240dk.Cumulative","MCQ240dk.Skip.to.Item"
"28 to 47","Range of Values",4,4,NA
"80","80 years or older",0,4,NA
"777","Refused",0,4,NA
"999","Don't know",0,4,NA
".","Missing",9766,9770,NA
