"URXUAB.Code.or.Value","URXUAB.Value.Description","URXUAB.Count","URXUAB.Cumulative","URXUAB.Skip.to.Item"
"0.82 to 2505.42","Range of Values",2825,2825,NA
".","Missing",154,2979,NA
